function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F32022,10,M1a_Km3.0,1020,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1021,3.410605131648481e-13,,,,
F32022,10,M1a_Km3.0,1022,3.410605131648481e-13,,,,
F32022,10,M1a_Km3.0,1023,3.410605131648481e-13,,,,
F32022,10,M1a_Km3.0,1024,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1025,3.410605131648481e-13,,,,
F32022,10,M1a_Km3.0,1026,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1027,2.2737367544323206e-13,,,,
F32022,10,M1a_Km3.0,1028,3.410605131648481e-13,,,,
F32022,10,M1a_Km3.0,1029,0.0,,,,
F42022,10,M1a_Km0.1,1000,86.22773004168971,,,,
F42022,10,M1a_Km0.1,1001,59.056273801969496,,,,
F42022,10,M1a_Km0.1,1002,74.7001340500567,,,,
F42022,10,M1a_Km0.1,1003,60.56178635972151,,,,
F42022,10,M1a_Km0.1,1004,77.15175632865419,,,,
F42022,10,M1a_Km0.1,1005,89.08387690304892,,,,
F42022,10,M1a_Km0.1,1006,63.39734668188373,,,,
F42022,10,M1a_Km0.1,1007,67.40311545634506,,,,
F42022,10,M1a_Km0.1,1008,78.07852240486955,,,,
F42022,10,M1a_Km0.1,1009,53.803420960151584,,,,
F42022,10,M1a_Km0.1,1010,76.19470304318895,,,,
F42022,10,M1a_Km0.1,1011,80.62119801137658,,,,
F42022,10,M1a_Km0.1,1012,63.36905318497145,,,,
F42022,10,M1a_Km0.1,1013,69.24466838987951,,,,
F42022,10,M1a_Km0.1,1014,48.07730914392505,,,,
F42022,10,M1a_Km0.1,1015,32.53450298292864,,,,
F42022,10,M1a_Km0.1,1016,82.05381415623174,,,,
F42022,10,M1a_Km0.1,1017,70.2904323598176,,,,
F42022,10,M1a_Km0.1,1018,66.77717675044073,,,,
F42022,10,M1a_Km0.1,1019,71.58957550931882,,,,
F42022,10,M1a_Km0.1,1020,58.54441493521233,,,,
F42022,10,M1a_Km0.1,1021,64.31848741833892,,,,
F42022,10,M1a_Km0.1,1022,70.0,,,,
F42022,10,M1a_Km0.1,1023,81.63416810831825,,,,
F42022,10,M1a_Km0.1,1024,54.0,,,,
F42022,10,M1a_Km0.1,1025,70.61017896733142,,,,
F42022,10,M1a_Km0.1,1026,84.0,,,,
F42022,10,M1a_Km0.1,1027,42.0,,,,
F42022,10,M1a_Km0.1,1028,54.099789124279596,,,,
F42022,10,M1a_Km0.1,1029,54.44761650124212,,,,
F42022,10,M1a_Km0.3,1000,49.38554067204052,,,,
F42022,10,M1a_Km0.3,1001,75.47631258513263,,,,
F42022,10,M1a_Km0.3,1002,57.02235043965197,,,,
F42022,10,M1a_Km0.3,1003,62.91464824880188,,,,
F42022,10,M1a_Km0.3,1004,70.72092451740502,,,,
F42022,10,M1a_Km0.3,1005,23.0865527773218,,,,
F42022,10,M1a_Km0.3,1006,46.775152256294405,,,,
F42022,10,M1a_Km0.3,1007,47.29841906908314,,,,
F42022,10,M1a_Km0.3,1008,52.614765710282086,,,,
F42022,10,M1a_Km0.3,1009,43.95562228383403,,,,
F42022,10,M1a_Km0.3,1010,66.31905116926237,,,,
F42022,10,M1a_Km0.3,1011,38.48207373691696,,,,
F42022,10,M1a_Km0.3,1012,44.89417367542842,,,,
F42022,10,M1a_Km0.3,1013,70.87551161558656,,,,
F42022,10,M1a_Km0.3,1014,73.77511037663623,,,,
F42022,10,M1a_Km0.3,1015,35.84889749751119,,,,
F42022,10,M1a_Km0.3,1016,36.31797407761621,,,,
F42022,10,M1a_Km0.3,1017,68.90864332710453,,,,
F42022,10,M1a_Km0.3,1018,45.26887529648798,,,,
F42022,10,M1a_Km0.3,1019,46.04279483928963,,,,
F42022,10,M1a_Km0.3,1020,44.37733237222824,,,,
F42022,10,M1a_Km0.3,1021,60.56902433417599,,,,
F42022,10,M1a_Km0.3,1022,64.0,,,,
F42022,10,M1a_Km0.3,1023,37.21763964879699,,,,
F42022,10,M1a_Km0.3,1024,53.83840206132527,,,,
