function,dim,variant,seed,err,iters,c1_acc,c2_acc
F32022,10,c2only|orig,1000,1.1368683772161603e-13,249,0,3206
F32022,10,c2only|orig,1001,1.1368683772161603e-13,248,0,2972
F32022,10,c2only|orig,1002,3.410605131648481e-13,249,0,4088
F32022,10,c2only|orig,1003,5.684341886080801e-13,249,0,4453
F32022,10,c2only|orig,1004,5.684341886080801e-13,249,0,3646
F32022,10,c2only|orig,1005,0.0,249,0,4312
F32022,10,c2only|orig,1006,2.2737367544323206e-13,249,0,3949
F32022,10,c2only|orig,1007,1.1368683772161603e-13,249,0,4028
F32022,10,c2only|orig,1008,1.1368683772161603e-13,249,0,2977
F32022,10,c2only|orig,1009,1.1368683772161603e-13,249,0,3777
