alg,problem,seed,f,viol,nfe,x
AS-ABMO,spring,2035,0.012931279156164759,0.0,15030,"[0.055609, 0.45857, 7.11883]"
AS-ABMO,spring,2036,0.012668835551730876,0.0,15030,"[0.052135, 0.367546, 10.681273]"
AS-ABMO,spring,2037,0.013048128884463708,0.0,15030,"[0.056409, 0.48125, 6.520879]"
AS-ABMO,spring,2038,0.012913052855526803,0.0,15030,"[0.055246, 0.448463, 7.434235]"
AS-ABMO,spring,2039,0.012681340490524797,0.0,15030,"[0.050758, 0.334719, 12.705633]"
AS-ABMO,spring,2040,0.012683241356319885,0.0,15030,"[0.050705, 0.333494, 12.79268]"
AS-ABMO,spring,2041,0.012666346241881827,0.0,15030,"[0.051937, 0.362704, 10.946458]"
AS-ABMO,spring,2042,0.01271711125252254,0.0,15030,"[0.05003, 0.318105, 13.971801]"
AS-ABMO,spring,2043,0.012719053710182579,0.0,15030,"[0.05, 0.317425, 14.02777]"
AS-ABMO,spring,2044,0.012719053710180886,0.0,15030,"[0.05, 0.317425, 14.02777]"
AS-ABMO,spring,2045,0.012911653948025976,0.0,15030,"[0.055156, 0.445212, 7.533002]"
AS-ABMO,spring,2046,0.01271905371018094,0.0,15030,"[0.05, 0.317425, 14.02777]"
AS-ABMO,spring,2047,0.012695100396405992,0.0,15030,"[0.050425, 0.327061, 13.265664]"
AS-ABMO,spring,2048,0.012916063142246003,0.0,15030,"[0.055494, 0.455338, 7.211105]"
AS-ABMO,spring,2049,0.012677665079690759,0.0,15030,"[0.051043, 0.341348, 12.255294]"
AS-ABMO,spring,2050,0.01268850284076213,0.0,15030,"[0.050572, 0.330424, 13.015013]"
AS-ABMO,spring,2051,0.01271125259031104,0.0,15030,"[0.050125, 0.320243, 13.797894]"
AS-ABMO,spring,2052,0.012670072180479195,0.0,15030,"[0.051176, 0.344509, 12.042347]"
AS-ABMO,spring,2053,0.01319258044433579,0.0,15030,"[0.05, 0.310414, 15.0]"
AS-ABMO,spring,2054,0.012670279905759701,0.0,15030,"[0.052217, 0.369564, 10.573764]"
AS-ABMO,spring,2055,0.012718722551096276,0.0,15030,"[0.050005, 0.31754, 14.018283]"
GWO,spring,2026,0.012820601418548308,0.0,15030,"[0.054392, 0.424667, 8.204631]"
GWO,spring,2027,0.012690577205818511,0.0,15030,"[0.052478, 0.375821, 10.26155]"
GWO,spring,2028,0.012754727868694339,0.0,15030,"[0.053618, 0.404834, 8.95911]"
GWO,spring,2029,0.012732470009102475,0.0,15030,"[0.050097, 0.319374, 13.884872]"
GWO,spring,2030,0.01268695965415719,0.0,15030,"[0.050913, 0.338257, 12.469426]"
GWO,spring,2031,0.012723681627304027,0.0,15030,"[0.05, 0.317373, 14.036269]"
GWO,spring,2032,0.012730841018210941,0.0,15030,"[0.050134, 0.320244, 13.816827]"
GWO,spring,2033,0.012729170695629845,0.0,15030,"[0.05, 0.317279, 14.047915]"
GWO,spring,2034,0.013002746033639004,0.0,15030,"[0.055936, 0.467689, 6.885894]"
GWO,spring,2035,0.012745460681242752,0.0,15030,"[0.050002, 0.317184, 14.071887]"
GWO,spring,2036,0.01273307158595774,0.0,15030,"[0.05, 0.317368, 14.048321]"
GWO,spring,2037,0.012722474337619501,0.0,15030,"[0.053387, 0.39889, 9.190332]"
GWO,spring,2038,0.012731221391102996,0.0,15030,"[0.05, 0.31725, 14.051971]"
GWO,spring,2039,0.013434002411368514,0.0,15030,"[0.05837, 0.539755, 5.305226]"
GWO,spring,2040,0.012737931353596878,0.0,15030,"[0.05, 0.317217, 14.062084]"
GWO,spring,2041,0.012728479633817737,0.0,15030,"[0.05, 0.317327, 14.044607]"
GWO,spring,2042,0.012726610832632733,0.0,15030,"[0.05, 0.317366, 14.04029]"
