alg,fid,dim,seed,f,err,nfe
AS-ABMO,6,10,2028,6304.48747548892,4504.48747548892,15030
AS-ABMO,6,10,2029,9597.927099365334,7797.927099365334,15030
AS-ABMO,6,10,2030,2350.585186662531,550.5851866625312,15030
AS-ABMO,6,10,2031,16149.737149827664,14349.737149827664,15030
AS-ABMO,6,10,2032,7819.081344380138,6019.081344380138,15030
AS-ABMO,6,10,2033,11518.275201848135,9718.275201848135,15030
AS-ABMO,6,10,2034,11306.930029938532,9506.930029938532,15030
AS-ABMO,6,10,2035,25552.64647645103,23752.64647645103,15030
AS-ABMO,6,10,2036,10278.617642621688,8478.617642621688,15030
AS-ABMO,6,10,2037,4469.016267598458,2669.0162675984584,15030
AS-ABMO,6,10,2038,11017.952175307919,9217.952175307919,15030
AS-ABMO,6,10,2039,3086.1452521215065,1286.1452521215065,15030
AS-ABMO,6,10,2040,5769.165340918882,3969.165340918882,15030
AS-ABMO,6,10,2041,8627.047867408583,6827.0478674085825,15030
AS-ABMO,6,10,2042,11711.693552510424,9911.693552510424,15030
AS-ABMO,6,10,2043,2068.8976563396764,268.89765633967636,15030
AS-ABMO,6,10,2044,9456.19381733989,7656.19381733989,15030
AS-ABMO,6,10,2045,14080.704198099987,12280.704198099987,15030
AS-ABMO,6,10,2046,5147.424087007499,3347.424087007499,15030
AS-ABMO,6,10,2047,5860.335714379675,4060.3357143796748,15030
AS-ABMO,6,10,2048,29828.597382599022,28028.597382599022,15030
AS-ABMO,6,10,2049,3800.4767240201686,2000.4767240201686,15030
AS-ABMO,6,10,2050,4208.258369870747,2408.2583698707467,15030
AS-ABMO,6,10,2051,30502.370608706195,28702.370608706195,15030
AS-ABMO,6,10,2052,4411.488881711819,2611.488881711819,15030
AS-ABMO,6,10,2053,17725.968707753836,15925.968707753836,15030
AS-ABMO,6,10,2054,15058.463180870462,13258.463180870462,15030
AS-ABMO,6,10,2055,25817.084403143155,24017.084403143155,15030
AS-ABMO,7,10,2026,2126.6160682976665,126.61606829766652,15030
AS-ABMO,7,10,2027,2024.3658905287862,24.365890528786167,15030
AS-ABMO,7,10,2028,2021.0317476964597,21.03174769645966,15030
AS-ABMO,7,10,2029,2002.5496546936085,2.549654693608545,15030
AS-ABMO,7,10,2030,2025.5094182390073,25.509418239007346,15030
AS-ABMO,7,10,2031,2022.4899181238102,22.489918123810185,15030
AS-ABMO,7,10,2032,2024.664164898926,24.664164898925947,15030
AS-ABMO,7,10,2033,2025.2830388785808,25.283038878580783,15030
AS-ABMO,7,10,2034,2022.2104900354316,22.210490035431576,15030
AS-ABMO,7,10,2035,2026.060149004429,26.060149004428922,15030
